Object,Affordances
penknife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
peppershaker,"{1: ('pick', 1.0)}"
pestle,"{1: ('change', 0.75), 2: ('crunch', 0.75), 3: ('fix', 0.75), 4: ('grind', 0.75), 5: ('mix', 0.75), 6: ('press', 0.75), 7: ('repair', 0.75)}"
phillips screwdriver,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('poke', 0.75), 6: ('repair', 0.75), 7: ('screw', 0.75)}"
pick,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
pillow,"{1: ('pick', 1.0)}"
pilot bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
pin wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
pincer,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
pipe cutter,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
pipe wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
piston ring,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
pitcher,"{1: ('grasp', 1.0), 2: ('wrap', 1.0), 3: ('contain', 1.0), 4: ('pour', 1.0)}"
pitchfork,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('lift', 0.75), 6: ('repair', 0.75)}"
pitsaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
plane,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('install', 0.75), 8: ('operate', 0.75), 9: ('plug', 0.75), 10: ('repair', 0.75), 11: ('wash', 0.75)}"
plastering trowel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
plastic box,"{1: ('contain', 0.75)}"
plate,"{1: ('contain', 2.0), 2: ('break', 2.0), 3: ('grasp', 1.0), 4: ('carry', 1.0), 5: ('be heated', 1.0), 6: ('pick', 1.0), 7: ('support', 0.68)}"
plexor.n.wn.medicine,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
pliers,"{1: ('grasp', 1.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
plow,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('plow', 0.75), 4: ('repair', 0.75)}"
plumber's snake,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('unclog', 0.75)}"
plunger,"{1: ('clean', 1.0), 2: ('pick', 1.0), 3: ('grasp', 0.75), 4: ('change', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('repair', 0.75), 8: ('unclog', 0.75)}"
pneumatic drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
pocketknife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
pointing trowel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
poleax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
poniard,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
portable saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
poster,"{1: ('decorate', 1.0)}"
posthole digger,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
pot,"{1: ('contain', 2.0), 2: ('carry', 1.0), 3: ('be heated', 1.0), 4: ('pick', 1.0)}"
potato,"{1: ('eat', 2.5), 2: ('cut', 1.0), 3: ('pick', 1.0)}"
power drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
power mower,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
power saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
power tool,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('install', 0.75), 8: ('operate', 0.75), 9: ('plug', 0.75), 10: ('repair', 0.75), 11: ('wash', 0.75)}"
pruner,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
pruning knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
pruning saw,"{1: ('cut', 1.25), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
pruning shear,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
pump type plier,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
punch,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pierce', 0.75), 4: ('repair', 0.75)}"
punch plier,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pierce', 0.75), 4: ('repair', 0.75)}"
putty knife,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mix', 0.75), 6: ('repair', 0.75), 7: ('spread', 0.75)}"
rake,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pick', 0.75), 4: ('repair', 0.75)}"
ram,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
rammer,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
rasp,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
rat tail file,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
ravehook,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
razor,"{1: ('cut', 1.25), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
razorblade,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('slit', 0.75)}"
reamer,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
remote control,"{1: ('break', 1.0)}"
remotecontrol,"{1: ('pick', 1.0)}"
rib joint plier,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
riding mower,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
ripping chisel,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
ripsaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
roach clip,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
rock bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
room decor,"{1: ('decorate', 1.0)}"
roomdecor,{}
round file,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
rounder,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75), 4: ('roll', 0.75)}"
router,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
router plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
rubber eraser,"{1: ('grasp', 1.0)}"
s wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
saber saw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
safe,"{1: ('store', 1.0), 2: ('contain', 1.0)}"
safety razor,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
salt,"{1: ('eat', 1.0)}"
saltshaker,"{1: ('pick', 1.0)}"
sandblaster,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('clean', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
saw,"{1: ('cut', 1.25), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('saw', 0.75), 8: ('separate', 0.75)}"
saw set,"{1: ('bend', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
sawmill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
scalpel,"{1: ('cut', 1.25), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
scauper,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('engrave', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('scoop', 0.75)}"
scissors,"{1: ('cut', 2.25), 2: ('grasp', 1.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
scoop,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
scraper,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
screw key,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
screw wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
screwdriver,"{1: ('fix', 1.25), 2: ('screw', 1.25), 3: ('grasp', 0.75), 4: ('change', 0.75), 5: ('hold', 0.75), 6: ('poke', 0.75), 7: ('repair', 0.75)}"
scriber,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('pierce', 0.75), 7: ('repair', 0.75)}"
scrub brush,"{1: ('clean', 1.0)}"
scrub plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
scrubbrush,"{1: ('pick', 1.0)}"
scuffle,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
scythe,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
seal,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
secateur,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
set square,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
shampoo,"{1: ('wrap', 1.0)}"
shaping tool,"{1: ('shape', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
shaver,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
shear,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
shelf,"{1: ('store', 1.5), 2: ('contain', 1.0)}"
shelving unit,"{1: ('store', 1.0)}"
shelvingunit,"{1: ('contain', 1.0)}"
shiv,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
shovel,"{1: ('dig', 1.25), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
showercurtain,{}
showerdoor,"{1: ('break', 1.0)}"
showerglas,"{1: ('break', 1.0)}"
showerhead,"{1: ('operate', 1.0)}"
sickle,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
side table,"{1: ('increase', 1.0), 2: ('support', 1.0)}"
sidetable,"{1: ('contain', 1.0)}"
signet,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
sink,"{1: ('contain', 1.0)}"
sink basin,"{1: ('wash', 1.0), 2: ('dispose', 1.0)}"
sinkbasin,"{1: ('contain', 1.0)}"
slicer,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
slick,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
slip joint plier,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
slouse,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mix', 0.75), 6: ('repair', 0.75), 7: ('spread', 0.75)}"
smooth plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
snip,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
snuffer,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('peel', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
soap bar,"{1: ('clean', 1.0)}"
soap bottle,"{1: ('clean', 1.0)}"
soapbar,"{1: ('pick', 1.0)}"
soapbottle,"{1: ('pick', 1.0)}"
socket wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
soda can,"{1: ('wrap', 1.0)}"
sofa,"{1: ('comfort', 1.5), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
soldering iron,"{1: ('grasp', 0.75), 2: ('heat', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('melt', 0.75), 7: ('repair', 0.75), 8: ('solder', 0.75)}"
spade,"{1: ('dig', 1.25), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
spade bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
sparkplug wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
spatula,"{1: ('mix', 1.75), 2: ('cut', 1.0), 3: ('break', 1.0), 4: ('pick', 1.0), 5: ('grasp', 0.75), 6: ('change', 0.75), 7: ('fix', 0.75), 8: ('hold', 0.75), 9: ('repair', 0.75), 10: ('spread', 0.75)}"
spiral ratchet screwdriver,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('poke', 0.75), 6: ('repair', 0.75), 7: ('screw', 0.75)}"
spokeshave,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
sponge,"{1: ('grasp', 1.0), 2: ('absorb', 1.0), 3: ('support', 0.75), 4: ('contain', 0.75)}"
spoon,"{1: ('cut', 1.0), 2: ('mix', 1.0), 3: ('break', 1.0), 4: ('pick', 1.0)}"
spray bottle,"{1: ('carry', 1.0)}"
spraybottle,"{1: ('pick', 1.0)}"
spreader,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('spread', 0.75)}"
spud,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
square,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
stamp,"{1: ('shape', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
stamping machine,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('install', 0.75), 8: ('operate', 0.75), 9: ('plug', 0.75), 10: ('repair', 0.75), 11: ('wash', 0.75)}"
stapler,"{1: ('staple', 1.5), 2: ('grasp', 1.0)}"
star drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('pierce', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75)}"
statue,"{1: ('decorate', 1.0), 2: ('break', 1.0), 3: ('pick', 1.0)}"
steak knife,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('carve', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('crack', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('hold', 0.75), 11: ('peel', 0.75), 12: ('pick', 0.75), 13: ('repair', 0.75), 14: ('rub', 0.75), 15: ('separate', 0.75), 16: ('skin', 0.75), 17: ('spread', 0.75), 18: ('contain', 0.75), 19: ('wipe', 0.75)}"
steel wool pad,"{1: ('beautify', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('polish', 0.75), 5: ('repair', 0.75), 6: ('smoothen', 0.75)}"
stemmer,"{1: ('change', 0.75), 2: ('compress', 0.75), 3: ('fix', 0.75), 4: ('press', 0.75), 5: ('repair', 0.75), 6: ('tamp', 0.75)}"
stiletto,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
stillson wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
stool,"{1: ('increase', 1.5), 2: ('support', 1.0), 3: ('contain', 1.0)}"
stove burner,"{1: ('heat', 1.0)}"
stoveburner,"{1: ('contain', 1.0), 2: ('heat', 1.0)}"
stoveknob,"{1: ('operate', 1.0)}"
straight flute,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
straight razor,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
straightedge,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
