Object,Correct_Location,Wrong_Locations
tweed,closet,"['class room', 'dwelling', 'delivery room', 'cubicle']"
umbrella,garage,"['bicycle', 'cup', 'wardrobe', 'camp']"
underpants,drawer,"['floor', 'teapot', 'grand ballroom', 'kitchen or bathroom']"
undershirt,drawer,"['range', ""cash's room"", 'ambulance', 'deck']"
underwear,drawer,"['handbag', 'hotel room', 'freezer', 'attic']"
urinal,men's restroom,"['drawer', 'classroom', 'library', 'bathroom']"
usb drive,storage room,"['every bedroom', 'handbag', 'toolbox', 'safe']"
utensil,backpack,"['art classroom', 'bag', 'stand', 'counter']"
utensil holder,garage,"['tank', 'card room', 'belfry', 'belfry']"
vacuum,closet,"['bundle', 'bowl', 'waiting room', 'cabinet']"
vacuumcleaner,bedroom,"[""teenager's bedroom"", 'desk', 'cruet', 'study']"
varnish,table,"['bathtub', 'storage room', 'television room', 'most rooms']"
vase,childs room,"['basement', 'side of  room', 'vault', 'band room']"
vault,bank,"['television room', 'shell', 'bar', 'shaker']"
vegetable,refrigerator,"['vault', 'mailbox', 'range', 'motorbike']"
vent,room,"['automobile', 'deck', 'basement', 'every room']"
vermouth,bar,"['lamp', 'livin room', 'bathroom and kitchen', 'castle']"
video,cabinet,"['plate', 'study', 'bicycle', 'hatbox']"
video game,television room,"['livingroom', 'orchestra', 'boat', 'box']"
vinyl tape,lobby,"['vault', 'one of  classrooms', 'cabin', 'pocket']"
viola,orchestra,"['guest room', 'basket', 'container', 'beehive']"
violin,band room,"[""prostitute's bedroom"", 'bathroom drawer', 'suitcase', 'sedan']"
virtual reality viewer,kitchen,"['loungeroom', 'bunk', 'card room', 'pod']"
vodka,cabinet,"['cradle', 'corridor', 'dishwasher', 'box']"
voltmeter,drawer,"['belfry', 'pan', ""cash's room"", 'art classroom']"
volume,bookshelf,"['mansion', 'different room', 'dungeon', 'home office']"
waffle,fridge,"['dungeon', 'breadbox', 'boot', 'sink']"
wagon,backyard,"['cradle', 'shelf', 'chest', 'range']"
wallet,pocket,"['motel room', 'garage', 'one of  classrooms', 'camp']"
wardrobe,mansion,"['lounge', 'tin', 'aquarium', 'garage']"
washcloth,living room,"['tea room', 'motel room', 'class room', 'barrel']"
washer,jar,"['bathtub', 'range', 'dresser', 'butt']"
waste basket,television room,"[""cash's room"", 'court', 'board', 'pod']"
wastebasket,desk,"[""children's room"", 'one of  classrooms', 'tea room', 'childs room']"
watch,living room,"['ballroom', 'bed', 'storage room', 'card room']"
water bottle,bathroom,"['locker', 'suitcase', 'hamper', 'aquarium']"
wateringcan,living room,"['garden', 'pantry room', 'head', 'living rooms']"
weight,basement,"['master bedroom', 'jacket', 'loft', 'class room']"
weight loss guide,kitchen,"['desk', 'oven', 'independant room', 'art classroom']"
whale whistle,pantry room,"['locker', 'briefcase', 'wallet', 'bed']"
wheelchair,home,"['corridor', 'small room', 'hatbox', 'pod']"
whisk,drawer,"['purse', 'keg', 'keg', 'cruet']"
whiskey,bar,"['bike', 'bathroom drawer', 'restroom', 'bathtub']"
whisky,jar,"['loungeroom', 'hatbox', 'kitchen', 'sedan']"
window,living room,"['foyer', 'pocket', 'jacket', 'furniture']"
windshield,sedan,"['small room', 'tea room', 'dumpster', 'machine']"
wine,glass,"['den', 'jacket', 'pantry', 'bathtub']"
wine glass,kitchen,"['floor', 'locker', 'jacket', 'bookshelf']"
winebottle,kitchen,"['parlor', 'pantry room', 'cubicle', 'lounge']"
wipe warmer,pantry room,"['bookshelf', 'floor', 'orchestra', 'home']"
wireless accessory,dining room,"['cat', 'foyer', 'art classroom', 'bathtub']"
wood,boat,"['attic', 'music room', ""child's room"", 'shelf']"
wool,butt,"['shelf', 'grand ballroom', 'study', 'bathroom cabinet']"
work,desk,"['pocket', 'trap', 'boot', 'separate room']"
wristwatch,case,"[""child's bedroom"", 'floor', 'range', 'library']"
xylitol sweetener,living room,"['chamber', 'bathroom and kitchen', 'safe', 'library']"
yam,oven,"['court', 'closet', 'storage room', 'camp']"
yarn,cabinet,"['bookshelf', 'locker', 'class room', 'truck']"
yearbook,trunk,"['automobile', 'butt', 'quiver', ""children's room""]"
yoghurt,freezer,"['waiting room', 'bookshelf', 'motorbike', 'fridge']"
yogurt,fridge,"['lounge', 'hive', 'separate room', 'handbag']"
