task,hardware_config,model_answer,correct_answer
put the knife on the countertop inside the box in the drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the knife sharpening rod in the open drawer,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the knife sharpening rod in the open drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the ladle on the table,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the ladle on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lap top onto the couch.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
put the lap top onto the couch.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
put the lego into the open drawer and then close the drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lego into the open drawer and then close the drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the legos on top of the shelves,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the legos on top of the shelves,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lemon on the blue plate,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lemon on the blue plate,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid back on the coffee bean jar,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid back on the coffee bean jar,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid in the first line of the plate rack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid in the first line of the plate rack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid of the silver thing on the table,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the lid of the silver thing on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the appliance,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid on the appliance,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the bottle and then erase the circle on the whiteboard using the duster,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid on the bottle and then erase the circle on the whiteboard using the duster,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the flask,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid on the flask,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the flusk,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid on the flusk,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the glass jar,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid on the glass jar,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid on the stove,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the lid on the stove,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lid to the jar on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lid to the jar on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the light blue pot in the sink,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the light blue pot in the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the litter at the far end in the bin,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the litter at the far end in the bin,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the little bear inside the pot,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the little bear inside the pot,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the lunchbox's lid in the sink,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the lunchbox's lid in the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker behind the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker behind the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker in the blue object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker in the blue object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker in the jar,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker in the jar,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker in the put,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker in the put,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker inside the pot,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker inside the pot,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker inside the white and blue box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker inside the white and blue box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker near the disposable plastic spoon,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker near the disposable plastic spoon,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker on the seat of the chair,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker on the seat of the chair,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker on the towel then put the towel in the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker on the towel then put the towel in the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the marker on the tray,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the marker on the tray,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the maroon cap on top of the black and yellow one,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the maroon cap on top of the black and yellow one,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the maroon cape on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the maroon cape on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the masking tape on the microwave,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the masking tape on the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the masking tape on the rack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the masking tape on the rack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the measuring tape that is near the white cup in the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the measuring tape that is near the white cup in the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the middle tennis bowl in the can,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the middle tennis bowl in the can,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug into the bowl,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the mug into the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug into the plate dryer,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the mug into the plate dryer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug on the plastic,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the mug on the plastic,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug onto the side plate,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the mug onto the side plate,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug piece on the counter,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the mug piece on the counter,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug upright,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the mug upright,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the mug with pencil on the cabinet,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
put the mug with pencil on the cabinet,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
put the mugs on the table and then stack the blocks,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the mugs on the table and then stack the blocks,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the multi usb charging cable in the storage drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the multi usb charging cable in the storage drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the nail polish in the bowl at the right,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the nail polish in the bowl at the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the napkin directly on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the napkin directly on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the napkin on the white and blue pack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the napkin on the white and blue pack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object in the middle of the masking tape,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the object in the middle of the masking tape,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object in the red mug,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the object in the red mug,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object inside the black bag,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the object inside the black bag,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on the chopping board in the cream white pot,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the object on the chopping board in the cream white pot,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on the dresser inside the open drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the object on the dresser inside the open drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on the far left of the table in the clear container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the object on the far left of the table in the clear container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on the stove in the pot that is in the sink,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the object on the stove in the pot that is in the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on the stove inside the silver pot in the sink,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the object on the stove inside the silver pot in the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the object on top of the bed into the top left drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the object on top of the bed into the top left drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects inside the plastic bag,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the objects inside the plastic bag,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects on the grey plate in the green cup,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the objects on the grey plate in the green cup,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects on the right in the top drawer of the dresser,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the objects on the right in the top drawer of the dresser,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects on the surface on the box and the objects on the box on the counter top,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the objects on the surface on the box and the objects on the box on the counter top,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects on the table onto the tray,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the objects on the table onto the tray,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the objects surrounding the white plate on to the plate,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the objects surrounding the white plate on to the plate,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange and apple plush toys inside the basket,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange and apple plush toys inside the basket,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange and black/white plushy in the drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange and black/white plushy in the drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange ball in the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange ball in the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange block on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange block on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange car in the black box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange car in the black box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange cloth inside the basket,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange cloth inside the basket,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange cube on the stack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange cube on the stack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange cup in the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange cup in the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange discs in the white cup and the blue disc in the clear cup,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange discs in the white cup and the blue disc in the clear cup,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange item and the box in the container and close the container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange item and the box in the container and close the container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange item in the blue item,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange item in the blue item,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange item in the cube,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange item in the cube,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange item on the stack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange item on the stack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange lid in the topmost drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the orange lid in the topmost drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange marker inside the white box on the right,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange marker inside the white box on the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange object farthest from you on the wooden board,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange object farthest from you on the wooden board,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange object in the carton box inside the pack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange object in the carton box inside the pack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange object inside the cup,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange object inside the cup,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange object on the counter on top of the other orange object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange object on the counter on top of the other orange object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange object on the pan,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange object on the pan,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange packet in the open cabinet,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange packet in the open cabinet,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange plushy in the pot,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange plushy in the pot,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange ring on the wooden board,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange ring on the wooden board,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange sachet in the clear storage container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange sachet in the clear storage container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange shirt on the chair into the white bin,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the orange shirt on the chair into the white bin,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange sponge and yellow plushie in the top compartment of the cabinet under the sink then close the cabinet door,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the orange sponge and yellow plushie in the top compartment of the cabinet under the sink then close the cabinet door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange thing in the can,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange thing in the can,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange thing on the wooden rack,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange thing on the wooden rack,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange thing on top of the green one,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange thing on top of the green one,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the orange tool in the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the orange tool in the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the pack in the middle in the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the pack in the middle in the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the pack of fritos inside the trash bin on the floor,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the pack of fritos inside the trash bin on the floor,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the pack of lays in the sink,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the pack of lays in the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the packaging foam into the cardboard box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the packaging foam into the cardboard box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the packet and cap in the bag,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the packet and cap in the bag,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the packet in the storage box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the packet in the storage box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the pajama pants into the laundry bin,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the pajama pants into the laundry bin,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper and the white object in the drawer and close the drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper and the white object in the drawer and close the drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper bag into the cardboard box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper bag into the cardboard box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper bag on the counter,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper bag on the counter,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper bowl inside the silver saucepan,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper bowl inside the silver saucepan,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper cups in the paper plates,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper cups in the paper plates,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper glue on the black box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper glue on the black box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper in the black bin,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the paper in the black bin,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper in the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper in the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper on the counter on the bottom shelf of the open cabinet and then close the cabinet door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the paper on the counter on the bottom shelf of the open cabinet and then close the cabinet door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper on the table,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the paper on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper towel roll in the clear container then move the container to the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the paper towel roll in the clear container then move the container to the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the paper towel roll on the stove,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the paper towel roll on the stove,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the papers in the first bin,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
put the papers in the first bin,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the papers in the top drawer,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
put the papers in the top drawer,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
put the peach and pink shirt and the green towel in the box respectively,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
put the peach and pink shirt and the green towel in the box respectively,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
